Geneid	gene_name	SRR3655795Aligned.sortedByCoord.out.bam	SRR3655801Aligned.sortedByCoord.out.bam	SRR3655791Aligned.sortedByCoord.out.bam	SRR3655798Aligned.sortedByCoord.out.bam	SRR3655797Aligned.sortedByCoord.out.bam	SRR3655799Aligned.sortedByCoord.out.bam	SRR3655793Aligned.sortedByCoord.out.bam	SRR3655800Aligned.sortedByCoord.out.bam	SRR3655802Aligned.sortedByCoord.out.bam	SRR3655792Aligned.sortedByCoord.out.bam	SRR3655794Aligned.sortedByCoord.out.bam	SRR3655796Aligned.sortedByCoord.out.bam
gpbp1l1	NA	63	119	105	67	67	2	61	7	289	241	196	142
ccdc17	NA	0	0	0	0	0	0	0	0	0	0	0	0
nasp	NA	8	40	7	13	13	1	9	3	81	23	39	33
akr1a1b	NA	15	8	2	20	20	3	26	21	18	3	60	41
prpf38a	NA	7	8	2	23	23	2	10	2	17	11	30	27
orc1	NA	3	5	2	5	5	0	10	4	16	8	33	11
mpl	NA	0	0	1	1	1	0	0	0	3	1	1	0
tie1	NA	4	34	29	128	128	3	4	6	97	49	6	13
tie-1as	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:ch73-185c24.2	NA	236	151	277	19	19	2	276	3	414	706	751	480
ap1m3	NA	10	2	0	0	0	0	5	0	9	6	22	8
tmem125	NA	15	30	19	11	11	4	32	0	49	64	77	38
fam183a	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_8	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_9	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_10	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_11	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_12	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_13	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_14	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_15	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_16	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_17	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_18	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_19	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_20	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_21	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_22	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_23	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_24	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_25	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_26	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_27	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_28	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_29	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_30	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_31	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnai-uau_32	NA	0	0	0	0	0	0	0	0	0	0	0	0
dmrt2b	NA	0	0	0	0	0	0	0	0	0	0	0	0
lrp8	NA	2	10	1	8	8	35	0	63	29	7	3	1
LOC103908727	NA	0	0	0	0	0	0	0	0	0	0	0	0
mier1a	NA	166	391	158	271	271	222	183	610	973	423	448	387
slc35d1a	NA	38	266	81	76	76	296	35	664	677	189	93	65
il23r	NA	29	184	24	46	46	219	106	551	397	54	256	63
il12rb2	NA	88	111	55	580	580	113	122	291	287	143	333	274
serbp1a	NA	21643	14051	19475	11422	11422	12783	15873	32152	35068	48870	39501	52420
LOC101883640	NA	1	4	0	0	0	0	0	2	4	0	0	0
hsd17b7	NA	15	307	24	238	238	430	25	1068	745	99	54	27
ddr2a	NA	25	48	19	208	208	47	10	138	175	39	50	71
uap1	NA	7040	10014	9772	2490	2490	11413	11889	28283	24937	24175	29932	17003
uhmk1	NA	78	84	108	83	83	124	87	346	202	319	218	191
c6h1orf226	NA	144	104	125	126	126	104	143	278	257	269	331	383
nos1apa	NA	49	33	45	60	60	25	68	83	91	107	166	162
rgs4	NA	76	156	64	43	43	0	67	1	371	161	182	174
rgs5a	NA	1487	340	584	573	573	4	587	16	859	1429	1422	3498
rgs16	NA	15	0	6	7	7	0	0	0	4	11	3	26
rgs8	NA	5	0	0	2	2	0	0	1	0	0	0	8
trnal-uag_182	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnal-uag_183	NA	0	0	0	1	1	0	0	0	0	0	0	0
trnal-aag_209	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnal-aag_210	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnal-aag_211	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnal-aag_212	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnal-aag_213	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnal-aag_214	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnal-aag_215	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnal-aag_216	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnal-aag_217	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnal-aag_218	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnal-aag_219	NA	0	0	0	0	0	0	0	0	0	0	0	0
brinp3a.1	NA	2	5	0	1	1	0	1	0	8	0	0	7
LOC101884843	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439873	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:ch211-205j18.1	NA	0	1	0	2	2	0	0	0	1	0	0	0
brinp3a.2	NA	0	0	1	7	7	0	0	0	0	0	0	0
si:dkey-117a16.1	NA	0	1	1	0	0	0	1	1	1	1	3	0
rhcgl1	NA	0	0	0	0	0	0	0	0	0	0	0	2
lrrc15	NA	4	7	6	150	150	7	12	20	8	5	42	10
LOC110439874	NA	1	0	0	0	0	1	2	7	0	1	1	1
her6	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110438742	NA	0	0	0	0	0	0	0	0	0	0	0	0
opa1	NA	923	938	876	1210	1210	1042	913	2541	2366	2280	2369	2221
si:ch73-29l19.1	NA	44	18	15	15	15	19	25	34	54	63	53	108
tmem45a	NA	11	85	16	137	137	56	30	128	220	48	74	64
zgc:110788	NA	0	1	0	0	0	0	0	1	2	0	0	0
chd1l	NA	142	312	166	207	207	369	216	918	718	428	566	325
traf3ip2l	NA	57	271	72	101	101	315	135	703	777	223	312	177
negr1	NA	65	60	61	78	78	68	114	205	149	180	277	131
LOC108190415	NA	1	0	0	1	1	0	0	6	1	0	0	5
zranb2	NA	238	326	316	390	390	285	277	734	777	759	675	565
ptger3	NA	7	8	10	16	16	16	20	22	16	36	53	16
cthl	NA	1666	99	819	64	64	1319	2745	3368	220	2101	7089	3894
cth	NA	2279	619	1724	1751	1751	785	6786	1980	1676	4764	17271	5364
nit2	NA	97	214	112	141	141	189	129	515	549	265	355	253
gtpbp6	NA	47	46	33	35	35	66	29	166	120	71	86	102
si:dkey-66a8.7	NA	33	161	65	146	146	136	56	393	458	165	151	77
plcxd1	NA	1	12	1	22	22	11	3	18	31	9	13	10
LOC103911258	NA	0	2	1	2	2	0	0	5	4	0	1	0
jade3	NA	80	158	76	142	142	119	106	298	333	223	262	184
rp2	NA	174	382	164	1154	1154	343	147	978	955	436	418	345
slc9a7	NA	52	104	37	393	393	80	57	217	311	96	163	160
chst7	NA	93	152	65	466	466	117	61	294	342	190	140	241
tubgcp5	NA	67	139	58	111	111	88	56	218	294	137	115	150
cyfip1	NA	1009	1679	1190	2537	2537	1529	1187	3798	4251	2924	2957	2411
fndc9	NA	3	5	0	4	4	1	2	12	3	3	4	2
nipa2	NA	640	844	887	746	746	849	809	2211	2169	2185	2011	1515
nipa1	NA	161	176	194	93	93	199	311	468	552	443	733	378
herc2	NA	176	97	183	141	141	130	152	319	290	500	423	450
oca2	NA	0	0	0	0	0	0	0	0	0	0	0	0
oca2_1	NA	0	0	0	0	0	0	0	0	0	0	0	0
gabrg3	NA	1	0	1	0	0	0	0	1	0	1	0	2
gabra5	NA	0	0	0	0	0	0	0	0	0	0	0	0
gabrb3	NA	0	0	0	0	0	0	0	0	0	0	0	0
atp10a	NA	0	1	0	0	0	0	0	0	0	0	0	0
si:dkey-29g22.2	NA	0	0	0	0	0	0	0	0	0	0	0	0
ube3a	NA	444	727	449	869	869	664	463	1856	1932	1187	1194	1029
cnga3a	NA	0	0	0	0	0	0	0	0	0	0	0	0
stk35l	NA	150	123	176	149	149	179	130	443	307	463	381	382
bin2b	NA	89	168	53	583	583	123	127	425	380	173	318	202
slc48a1b	NA	68	57	71	89	89	83	33	202	143	149	73	161
hdac7b	NA	0	0	0	0	0	0	0	0	0	0	0	0
vdrb	NA	26	15	53	11	11	19	40	80	35	153	77	57
trnaq-uug_25	NA	0	0	0	0	0	0	0	0	0	0	0	0
tns2b	NA	14	63	30	3	3	10	41	17	105	68	119	38
eif4bb	NA	160	201	249	178	178	143	210	365	538	613	457	424
prss60.1	NA	0	0	0	0	0	0	0	0	0	0	0	0
prss60.2	NA	0	0	0	0	0	0	0	0	0	0	0	0
prss60.3	NA	0	0	0	0	0	0	0	0	0	0	0	0
gpr84	NA	1	6	0	578	578	9	3	16	20	3	9	3
stat2	NA	11	17	35	76	76	37	24	69	37	64	47	28
apof	NA	0	0	0	0	0	0	0	0	0	0	0	0
tac3b	NA	0	0	0	0	0	0	1	0	1	0	0	0
c1galt1b	NA	0	0	0	0	0	0	0	0	0	0	0	0
os9	NA	56	143	99	94	94	65	142	169	441	292	343	135
b4galnt1b	NA	0	0	0	7	7	0	0	1	0	0	1	0
arhgef25b	NA	0	0	0	4	4	0	0	3	0	1	3	0
ankrd33ab	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-195m11.11	NA	0	2	0	424	424	20	0	49	8	3	8	1
krt4	NA	4903	9666	18827	4034	4034	3671	18175	9008	24640	47821	46332	11807
zgc:158846	NA	5287	3291	5718	313	313	809	6564	2077	8203	14236	16691	12829
zgc:77517	NA	127	402	266	1236	1236	164	206	371	1008	691	452	290
si:dkey-195m11.8	NA	0	0	0	0	0	0	0	0	0	0	0	0
scn8ab	NA	6	1	0	0	0	2	0	1	0	6	4	36
mettl7a	NA	109	91	458	32	32	60	574	155	247	1141	1454	236
si:ch211-173n18.3	NA	28	12	80	1	1	4	62	20	18	184	127	57
si:ch211-173n18.4	NA	111	52	83	23	23	37	93	96	152	218	257	245
atf1	NA	32	85	54	109	109	39	100	82	220	148	191	93
dip2bb	NA	0	0	0	0	0	0	0	1	0	0	0	1
si:dkeyp-80d11.1	NA	0	0	0	0	0	0	0	0	0	0	0	0
atf7b	NA	39	19	8	7	7	6	24	29	86	21	55	117
larp4ab	NA	74	42	6	10	10	6	13	19	105	18	21	197
pfdn5	NA	0	0	0	0	0	0	0	0	0	0	0	0
espl1	NA	0	0	0	0	0	0	0	0	0	0	0	0
itgb7	NA	0	0	0	0	0	0	0	0	0	0	0	0
pfkmb	NA	0	0	0	0	0	0	0	0	0	0	0	0
c1ql4b	NA	0	0	0	0	0	0	0	0	0	0	0	0
smarcc2	NA	2	18	1	4	4	3	0	12	37	4	2	4
myl6	NA	722	709	812	320	320	520	351	1331	1617	1965	966	1681
tsfm	NA	1	16	1	1	1	0	0	1	46	1	1	0
endou	NA	238	122	42	29	29	24	6	75	290	119	19	598
sumf1	NA	25	83	43	63	63	63	18	153	174	84	50	103
itpr1a	NA	0	1	0	4	4	9	0	23	9	7	4	4
pfkfb4b	NA	178	282	73	766	766	155	60	467	624	173	145	453
LOC101883484	NA	1	3	2	2	2	5	0	5	5	6	2	12
LOC101883560	NA	3	4	3	5	5	9	7	22	1	5	14	12
LOC108190417	NA	3	2	5	3	3	3	0	8	6	9	2	9
si:dkey-197j19.6	NA	0	0	0	1	1	0	0	0	1	0	0	3
si:dkey-197j19.5	NA	1	3	0	30	30	26	2	66	11	0	1	7
uroc1	NA	2	32	0	219	219	203	1	536	97	1	3	2
chchd4b	NA	83	49	48	26	26	39	43	117	89	119	103	156
sec61a1	NA	11117	7827	6812	5530	5530	6990	4758	18240	20280	17453	12330	27270
ip6k2b	NA	3458	2223	2288	1629	1629	2862	3294	7105	5284	5664	8383	8825
LOC103911261	NA	3	5	1	0	0	2	1	4	4	3	4	3
trnaf-gaa_145	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC100332423	NA	0	0	1	1	1	0	0	2	0	0	0	0
col7a1	NA	4	4	2	9	9	7	4	10	20	4	11	11
ttll3	NA	1	5	1	18	18	15	0	24	12	4	2	3
slc4a8	NA	19	19	11	6	6	9	16	9	34	28	39	43
si:dkey-28n18.9	NA	11	29	35	61	61	19	23	27	60	91	59	39
ccdc174	NA	125	288	172	208	208	215	155	511	754	399	386	330
ghrl	NA	117	79	22	375	375	53	27	153	186	66	62	231
tatdn2	NA	0	0	0	0	0	2	1	1	6	2	1	0
vhl	NA	127	92	156	72	72	74	101	180	264	329	258	287
crbn	NA	168	243	221	135	135	279	226	691	666	611	533	348
im:7136940	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108179118	NA	10	19	27	32	32	16	6	60	50	72	45	27
fgd5b	NA	11	11	16	16	16	9	10	41	30	37	21	29
prkcda	NA	585	1448	569	965	965	1430	876	3357	3553	1459	2228	1386
LOC101884206	NA	3	2	6	8	8	8	2	27	1	12	2	1
ddi2	NA	392	994	426	1295	1295	898	629	2342	2613	1112	1441	1094
si:ch73-15b2.5	NA	2	10	2	7	7	42	1	94	31	4	2	6
tomm6	NA	214	342	177	257	257	190	226	526	786	452	593	487
uqcc2	NA	211	199	165	213	213	160	191	380	502	434	459	517
tspo	NA	481	539	468	546	546	672	765	1716	1413	1225	2043	1202
frs3	NA	1	3	1	4	4	3	3	8	6	1	3	5
slc6a11a	NA	1	0	0	0	0	0	0	0	0	1	1	0
ppil1	NA	380	238	301	145	145	267	174	605	592	750	443	874
mir429b	NA	4	37	5	0	0	14	5	52	59	14	10	8
mir141	NA	0	0	0	0	0	0	0	0	0	0	0	0
mir200c	NA	0	0	0	0	0	0	0	1	0	0	0	0
eno1b	NA	98	205	86	294	294	293	59	735	491	210	151	245
rereb	NA	177	216	243	196	196	334	213	794	562	612	515	449
si:ch211-157b11.14	NA	1	16	6	1	1	4	0	17	28	9	3	1
LOC101882926	NA	11	1195	80	62	62	1021	40	2507	2976	164	103	18
si:ch211-157b11.12	NA	73	246	132	134	134	225	117	564	560	337	286	183
ccdc36	NA	4	10	4	18	18	5	2	14	20	10	6	5
kbtbd12	NA	3	6	8	5	5	11	4	13	25	20	10	16
slc26a6l	NA	0	1	0	13	13	0	0	5	3	3	0	2
p4htm	NA	19	21	20	47	47	35	10	81	46	47	38	45
myhb	NA	2	5	9	16	16	13	4	34	15	11	12	10
arpc4	NA	566	1315	529	2703	2703	1214	696	3021	3295	1221	1689	1258
h1fx	NA	542	3151	294	4652	4652	2616	668	6701	8153	744	1610	1206
si:ch211-157b11.8	NA	0	0	0	2	2	0	0	0	1	0	0	2
gata2b	NA	1	0	1	1	1	1	0	2	0	2	1	1
eefsec	NA	173	328	190	190	190	279	209	598	770	502	508	403
ruvbl1	NA	197	465	149	515	515	317	181	776	1232	357	501	489
mustn1a	NA	195	668	229	73	73	286	178	735	1416	521	486	471
rft1	NA	67	196	60	140	140	171	98	381	498	165	259	122
LOC101885030	NA	0	0	1	2	2	0	0	6	2	7	3	0
zgc:112163	NA	15	25	26	25	25	24	14	62	77	43	31	56
sirt4	NA	54	49	68	71	71	67	79	180	166	185	199	134
zgc:172271	NA	1	13	0	7	7	3	1	14	34	4	0	5
sfi1	NA	31	97	65	66	66	83	41	222	280	151	87	99
eif4enif1	NA	270	332	276	321	321	237	240	681	871	689	660	639
patz1	NA	160	123	169	163	163	167	157	377	253	448	350	407
slc2a11a	NA	5	9	5	80	80	40	34	116	35	12	107	18
tgfa	NA	3	4	4	33	33	1	0	9	10	3	4	13
hdhd3	NA	38	41	47	26	26	19	40	61	128	140	123	79
trub2	NA	141	176	119	201	201	139	115	348	383	364	284	275
entpd8	NA	4522	3363	1728	2851	2851	1455	4694	3506	8107	4303	11843	10746
rab44	NA	181	243	141	1501	1501	127	202	351	520	330	460	412
srsf3a	NA	648	638	296	675	675	312	483	802	1620	710	1218	1608
fkbp5	NA	5525	2845	113	7190	7190	665	4107	1668	7135	257	10578	13377
slc6a13	NA	247	936	319	296	296	875	320	2217	2412	749	762	528
slc6a13l	NA	108	51	219	30	30	245	139	619	123	556	370	253
opn1mw1	NA	0	0	0	0	0	0	0	0	0	0	0	0
opn1mw2	NA	0	1	0	0	0	0	0	0	0	0	0	0
opn1mw3	NA	0	0	0	0	0	1	0	0	0	0	0	0
opn1mw4	NA	0	0	0	0	0	0	0	0	1	0	0	0
synpr	NA	5	0	0	1	1	1	1	2	0	1	3	2
cadpsb	NA	12	12	7	12	12	5	10	15	28	32	19	32
rsg1	NA	17	21	10	18	18	22	8	63	55	37	29	41
LOC100536148	NA	3	3	0	3	3	0	1	4	5	0	0	3
wdr82	NA	279	490	247	536	536	384	274	907	1260	692	778	635
mirlet7j	NA	2	0	1	2	2	0	1	0	1	0	3	5
twf2	NA	4	3	7	12	12	4	6	15	8	16	12	35
cish	NA	744	154	192	503	503	151	307	457	385	508	761	1793
hemk1	NA	194	136	242	142	142	209	160	552	353	574	441	458
srgap3	NA	15	33	27	58	58	35	37	91	57	71	84	65
rad18	NA	18	49	28	53	53	131	57	275	177	66	139	45
oxtr	NA	2	2	3	0	0	7	0	21	5	5	3	11
cav3	NA	0	1	0	0	0	0	0	1	2	0	0	0
si:dkeyp-111e5.4	NA	9	10	17	12	12	15	8	43	24	34	26	6
parp3	NA	223	456	364	395	395	645	478	1543	1210	857	1144	558
grm2a	NA	0	1	0	1	1	2	0	0	0	0	1	0
tex264a	NA	195	810	209	488	488	908	249	2314	1903	542	596	428
fancd2	NA	58	246	120	103	103	233	138	563	685	290	359	162
gpx1b	NA	1609	25344	4476	5561	5561	41321	8590	102242	62631	11272	21033	3760
usp4	NA	524	1269	723	1309	1309	1966	505	4998	3186	1809	1352	1224
emc3	NA	228	465	247	663	663	486	277	1254	1142	592	745	592
sec61a1l	NA	750	1106	350	1380	1380	1060	278	2766	2949	828	723	1841
ip6k2a	NA	483	460	341	363	363	225	300	748	1143	786	783	1155
mst1ra	NA	660	750	748	737	737	696	785	1725	1970	1858	1925	1592
camkva	NA	2	1	1	5	5	1	0	1	0	1	0	3
LOC101886337	NA	4	0	0	0	0	0	3	0	0	0	7	15
LOC103911264	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC103911265	NA	0	0	0	0	0	3	4	10	2	5	0	0
si:ch211-241d24.1	NA	1	0	0	0	0	1	0	1	0	0	1	0
LOC567058	NA	377	397	462	593	593	337	412	832	1066	1107	1045	1002
sema3fa	NA	4	17	1	2	2	4	0	8	44	7	1	32
gnat1	NA	1	2	0	2	2	0	0	1	0	0	0	1
edem1	NA	698	1695	795	1774	1774	1645	827	4091	4251	1906	2116	1556
arl8ba	NA	237	511	258	780	780	499	286	1265	1189	690	681	590
tnfrsf18	NA	49	82	34	1229	1229	68	31	139	192	65	75	78
si:ch73-361p23.3	NA	18	49	15	213	213	37	23	123	125	30	61	43
tcta	NA	87	233	119	269	269	139	129	321	578	344	335	281
glyctk	NA	62	104	98	104	104	298	79	724	275	325	198	161
lrrn1	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108190497	NA	0	0	2	10	10	0	0	1	0	13	5	2
si:dkey-178o16.4	NA	0	0	0	0	0	0	0	0	0	0	0	0
trnt1	NA	29	9	21	35	35	18	19	63	17	83	41	60
arl6ip5a	NA	1	7	8	11	11	23	4	36	13	15	11	6
frmd4ba	NA	23	110	45	50	50	53	36	171	260	94	109	72
LOC110439875	NA	0	0	1	0	0	1	1	1	11	1	0	0
LOC101882029	NA	2	0	0	0	0	0	0	0	1	0	1	2
mitfa	NA	2	2	1	3	3	4	2	7	5	1	6	3
eevs	NA	610	12	1540	4	4	103	1446	291	30	3935	3794	1445
zgc:113054	NA	428	105	328	33	33	135	886	399	278	822	2188	997
si:dkey-58f6.2	NA	2	0	0	0	0	1	5	1	0	4	7	5
foxp1b	NA	233	210	196	413	413	222	176	561	513	495	412	553
gpr27	NA	11	4	13	3	3	6	8	19	14	16	8	22
prok2	NA	0	0	0	0	0	0	0	0	0	0	0	0
rybpb	NA	220	203	173	263	263	307	179	714	577	461	474	532
shq1	NA	17	37	58	36	36	48	57	123	135	130	103	60
gxylt2	NA	0	0	0	0	0	0	0	2	0	0	0	0
ppp4r2b	NA	0	0	0	0	0	0	0	0	0	0	0	0
pdzrn3b	NA	7	8	13	16	16	9	12	29	14	20	32	17
LOC101882452	NA	2	2	0	0	0	0	0	0	1	1	0	2
cntn3b	NA	4	7	3	33	33	12	2	15	9	17	2	18
chl1b	NA	101	146	67	80	80	71	24	189	303	164	76	193
LOC101883325	NA	6	3	0	31	31	11	1	42	8	5	0	21
cntn4	NA	0	0	5	0	0	0	0	1	2	22	0	0
rbm19	NA	23	18	33	28	28	27	35	67	49	79	86	77
epha2a	NA	1	6	5	9	9	7	5	24	33	12	13	2
h6pd	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC108190430	NA	0	0	0	0	0	0	0	0	0	0	0	0
rbp7b	NA	0	0	0	0	0	0	0	0	0	0	0	0
apitd1	NA	0	0	0	0	0	0	0	0	0	0	0	0
tardbp	NA	3	3	5	0	0	3	1	6	6	9	5	11
ca16b	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110438749	NA	0	0	0	0	0	0	0	0	0	0	0	0
zgc:162324	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC556106	NA	23	46	22	33	33	33	45	60	96	79	97	53
LOC110439876	NA	0	0	0	1	1	0	0	1	0	0	1	0
LOC555793	NA	12	38	9	14	14	22	25	56	62	19	36	36
camk1a	NA	0	0	0	0	0	0	0	0	1	1	2	2
pbrm1l	NA	26	36	50	39	39	32	21	79	125	113	76	62
stau1	NA	37	50	34	57	57	35	32	84	116	121	71	117
rdh20	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-7k24.5	NA	0	0	0	0	0	0	0	0	0	0	0	0
kcnb1	NA	0	0	0	0	0	0	0	0	0	0	0	0
ptgis	NA	0	0	0	0	0	0	0	0	0	0	0	0
oxtrl	NA	7	1	0	0	0	2	0	1	2	2	3	3
tespa1	NA	43	41	33	215	215	45	45	127	108	83	122	99
tarbp2	NA	219	422	191	356	356	380	250	988	1141	475	610	493
zgc:66479	NA	1	3	0	2	2	0	0	1	2	0	1	5
igfn1.2	NA	0	0	0	1	1	0	0	0	0	0	0	0
LOC110439883	NA	0	0	0	0	0	0	0	0	0	0	0	0
igfn1.4	NA	0	0	0	0	0	0	0	0	0	0	0	0
igfn1.3	NA	0	1	0	0	0	0	0	0	0	0	0	0
igfn1.1	NA	0	1	1	0	0	1	1	2	7	1	3	8
grm4	NA	10	20	3	13	13	2	5	4	42	4	14	17
LOC108190499	NA	0	0	0	0	0	0	0	1	0	0	0	0
si:ch211-286o17.1	NA	18	46	17	86	86	48	33	108	99	44	100	51
mir29b-1	NA	23	0	8	1	1	2	3	2	1	26	2	39
im:7151449	NA	50	49	16	107	107	86	23	190	157	52	53	107
LOC564220	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439877	NA	4	0	2	0	0	1	1	5	0	0	4	7
lrig2	NA	0	0	0	0	0	0	0	0	0	0	0	0
padi2	NA	239	1534	282	327	327	426	507	1067	3763	759	1193	591
si:dkey-166d12.2	NA	8	17	4	265	265	18	18	55	55	25	27	16
si:dkey-92f12.2	NA	71	110	41	222	222	95	58	295	314	145	185	157
slc2a1b	NA	308	339	248	1109	1109	523	355	1321	959	620	837	799
phc2b	NA	70	100	85	780	780	129	64	314	251	221	142	160
cttnbp2nla	NA	10	17	19	20	20	8	8	27	22	39	25	33
wnt2ba	NA	43	84	58	33	33	58	72	130	249	153	207	109
st7l	NA	101	170	168	84	84	188	126	435	456	434	305	240
capza1a	NA	800	1910	867	3344	3344	1509	1117	3702	4789	2146	2797	2012
mov10a	NA	368	710	467	815	815	644	684	1679	1899	1263	1727	971
rhoca	NA	578	1640	743	1874	1874	1215	861	3167	4411	1809	2358	1502
ppm1j	NA	17	30	14	375	375	52	15	141	76	28	50	31
si:dkey-238f9.1	NA	1	1	1	2	2	42	3	98	1	0	0	3
LOC108190503	NA	0	0	0	0	0	0	0	0	0	0	0	0
slc16a1a	NA	16	34	1	9	9	13	91	28	105	3	254	37
sycp1	NA	0	3	0	1	1	0	0	1	0	0	0	0
si:ch211-105j21.9	NA	31	130	9	30	30	35	46	79	348	15	156	72
slc5a8l	NA	14	44	11	28	28	6	101	13	116	24	252	33
tshba	NA	0	1	1	0	0	0	0	0	1	0	0	0
slc25a22	NA	113	203	222	306	306	175	152	438	434	553	449	306
tspan2a	NA	180	134	227	64	64	138	216	249	285	510	604	449
LOC110439878	NA	0	0	0	2	2	0	0	0	1	1	0	0
ngfb	NA	0	5	2	2	2	7	3	10	9	0	3	3
LOC110438750	NA	0	0	0	0	0	0	0	0	0	2	0	0
si:dkey-183k8.2	NA	0	0	0	7	7	4	0	1	1	1	0	0
kcna3a	NA	0	0	0	0	0	0	0	1	3	0	0	0
LOC101883166	NA	0	0	0	0	0	0	0	0	1	0	0	0
LOC100537815	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC567521	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101883319	NA	87	384	130	270	270	352	112	899	945	366	324	176
rplp2	NA	10823	5728	9170	5234	5234	5560	7139	14072	14836	23310	18357	26806
rps26l	NA	12722	7150	10811	5678	5678	7107	8030	17762	17988	27689	20437	31170
ppp4r1l	NA	260	390	245	784	784	427	292	1105	1026	630	780	652
rab22a	NA	7	20	7	36	36	10	9	26	37	15	27	16
vapb	NA	434	712	388	383	383	499	502	1203	1618	978	1236	995
apcdd1l	NA	0	2	6	0	0	2	2	7	5	14	2	2
stx16	NA	0	2	0	5	5	0	2	0	6	0	3	4
npepl1	NA	1033	1385	1072	1001	1001	1123	1241	2580	3499	2748	3213	2461
si:dkey-249d8.1	NA	99	99	213	36	36	117	237	275	270	503	605	283
ctsz	NA	1886	5153	2945	4889	4889	6796	3179	17233	13132	7733	8251	4483
nelfcd	NA	113	260	122	211	211	238	150	590	685	330	358	257
gnas	NA	320	378	420	558	558	393	337	1042	948	1078	900	873
tubb1	NA	1	5	2	17	17	4	1	12	10	4	6	0
atp5e	NA	1411	1731	1177	914	914	1045	1511	2460	4058	2880	3564	3158
chmp4ba	NA	279	481	418	1055	1055	507	341	1239	1236	1138	1003	758
ahcy	NA	37479	13978	37317	8148	8148	13306	23614	33202	34662	91886	58799	90540
asip1	NA	1	3	0	11	11	0	0	1	15	0	0	6
eif2s2	NA	2037	3237	1856	2897	2897	2661	1957	6704	7927	4658	4918	4646
raly	NA	8	19	10	29	29	39	1	89	34	19	7	19
LOC101886784	NA	0	0	0	0	0	0	1	0	0	2	0	0
cyc1	NA	2620	4094	2925	2361	2361	3179	3062	8279	10784	7404	8022	6541
ergic3	NA	292	391	206	268	268	284	222	779	1054	649	566	711
romo1	NA	3722	1627	3177	1473	1473	1814	2260	4499	4140	8271	6018	9242
mych	NA	6342	1065	1628	1064	1064	1752	2918	4280	2663	4067	7320	15145
mtss1	NA	164	382	205	336	336	411	148	954	982	495	420	410
osgn1	NA	1827	587	2489	198	198	1487	3210	3628	1434	6153	8253	4546
