Geneid	gene_name	SRR3655801	SRR3655798	SRR3655791	SRR3655799	SRR3655795	SRR3655793	SRR3655797	SRR3655792	SRR3655794	SRR3655800	SRR3655802	SRR3655796
LOC110439888	NA	0	0	0	0	0	0	0	0	0	0	1	2
zgc:66455	NA	54	16	6	21	34	16	16	20	44	86	138	73
b3gnt2a	NA	497	224	501	628	531	504	224	1357	1392	1597	1328	1363
commd1	NA	108	272	71	178	106	128	272	177	390	517	357	257
LOC110439714	NA	348	142	288	337	211	220	142	741	689	899	895	561
LOC110439958	NA	308	127	162	277	113	244	127	394	671	715	840	308
LOC103908636	NA	11456	4527	8897	9523	8310	11502	4527	23323	30493	24824	30144	20702
usp34	NA	228	286	302	235	233	197	286	740	604	686	679	660
xpo1a	NA	712	1250	220	719	387	302	1250	581	731	1889	1904	1071
fam161a	NA	4	2	7	7	2	0	2	23	4	7	25	14
cct4	NA	4485	3582	5031	3589	5640	3557	3582	13293	10121	9519	12320	14322
pus10	NA	91	49	41	77	51	46	49	105	168	198	230	152
akt3b	NA	12	44	18	26	22	12	44	49	35	51	38	42
LOC100536887	NA	1	0	0	0	0	0	0	0	0	0	0	0
crfb17	NA	261	710	468	629	289	406	710	1259	1094	1574	679	666
ltv1	NA	363	465	397	367	419	474	465	1056	1288	1130	960	1142
capn9	NA	3	2	2	1	1	0	2	13	0	0	3	2
LOC101883618	NA	11	5	2	8	4	6	5	7	9	16	29	14
taf5l	NA	64	68	28	46	38	43	68	80	103	128	151	101
nup133	NA	403	310	237	316	246	227	310	592	640	782	1067	666
acta1a	NA	948	51	212	356	171	363	51	641	996	991	2504	509
ccsapa	NA	6	4	8	6	16	6	4	26	10	24	20	47
si:ch211-133l11.10	NA	1	3	2	0	1	2	3	5	1	6	2	4
dla	NA	0	0	0	1	0	1	0	2	2	2	3	1
triobpa	NA	50	174	19	36	32	20	174	89	67	108	140	73
smdt1b	NA	1245	656	674	1092	716	738	656	1802	2001	2909	3087	1967
dcaf15	NA	170	104	185	128	55	107	104	496	248	352	460	148
rfx1b	NA	133	200	79	126	72	108	200	237	284	338	368	180
rln3b	NA	1	0	0	0	0	0	0	0	0	0	1	0
LOC100005536	NA	844	834	597	672	481	599	834	1507	1531	1874	2235	1364
LOC100008366	NA	41	42	61	42	67	64	42	169	158	126	164	164
nthl1	NA	100	73	88	104	32	43	73	211	137	216	263	75
tsc2	NA	357	156	308	447	405	347	156	823	905	1139	902	1047
pkd1a	NA	103	79	57	61	68	61	79	174	167	182	260	160
LOC110439889	NA	4	23	9	7	8	4	23	34	20	11	21	15
wu:fj19g03	NA	9	37	4	4	4	1	37	18	1	15	9	11
si:ch211-202h22.10	NA	20	27	23	24	18	6	27	81	20	48	87	56
tekt4	NA	47	23	60	70	60	47	23	170	135	208	130	148
si:ch211-202h22.9	NA	2636	691	6077	2267	4387	4334	691	16562	12703	6082	7365	11367
si:ch211-202h22.8	NA	37	27	94	219	141	50	27	186	101	547	78	374
si:ch211-202h22.7	NA	0	5	5	0	0	1	5	3	0	4	0	1
gprc5bb	NA	1	0	9	1	4	0	0	7	9	5	2	8
knop1	NA	180	192	164	243	151	177	192	386	403	561	500	423
exosc1	NA	181	154	599	292	543	421	154	1662	1050	699	390	1352
pgam1b	NA	663	884	819	1150	699	609	884	2234	1615	2876	1715	1816
cdc25d	NA	4	7	2	1	0	4	7	17	5	13	3	3
pi4k2a	NA	411	1462	438	521	283	541	1462	1151	1428	1394	1211	729
si:ch211-197k17.3	NA	29	94	69	64	41	24	94	190	113	143	76	114
zgc:136791	NA	98	175	81	94	96	105	175	187	254	244	246	233
LOC559196	NA	94	154	62	104	118	113	154	140	281	280	244	291
LOC110439890	NA	0	0	0	0	0	0	0	0	1	0	0	0
si:ch211-196h16.5	NA	77	138	39	369	233	212	138	126	615	1031	214	628
zfyve27	NA	166	259	131	220	170	161	259	368	403	514	458	414
golga7ba	NA	2	7	1	7	2	1	7	1	10	32	18	5
crtac1a	NA	80	41	40	50	56	28	41	118	109	159	307	175
r3hcc1l	NA	233	224	173	281	172	175	224	427	484	691	629	426
khsrp	NA	375	510	381	546	756	412	510	1080	1120	1399	1112	2051
slc25a23a	NA	65	118	11	89	42	24	118	38	61	181	162	90
si:ch211-196h16.12	NA	1	2	2	11	3	1	2	9	0	22	6	5
zgc:136864	NA	143	118	148	177	194	237	118	424	610	448	485	605
vps54	NA	198	287	273	295	293	172	287	768	442	773	561	675
peli1a	NA	77	13	34	34	107	62	13	97	150	83	130	289
lgalsla	NA	115	153	186	236	134	125	153	503	330	586	254	314
aftpha	NA	657	651	583	697	502	570	651	1471	1553	1686	1581	1396
sertad2a	NA	156	320	126	111	101	93	320	328	272	249	409	251
rab1aa	NA	447	586	595	704	577	598	586	1630	1714	1765	1259	1526
mb	NA	117	163	10	116	14	3	163	29	15	333	268	31
pane1	NA	116	71	3	43	4	13	71	8	29	92	298	13
zgc:158803	NA	361	608	500	420	452	267	608	1298	762	1196	1068	1232
mri1	NA	40	106	27	69	46	30	106	103	73	197	78	107
cc2d1a	NA	209	224	165	169	161	163	224	456	531	468	524	381
si:ch211-286b5.2	NA	1	2	1	0	1	1	2	7	1	2	2	1
nanos3	NA	0	2	0	1	0	0	2	0	0	1	1	0
si:ch211-286b5.4	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:ch211-286b5.5	NA	241	279	91	278	95	97	279	278	252	712	628	227
si:ch211-286b5.6	NA	37	105	3	15	6	3	105	19	15	33	46	19
zgc:172106	NA	110	112	3	15	3	5	112	28	5	40	317	4
si:ch211-286b5.8	NA	19	110	0	14	0	2	110	6	4	42	59	2
LOC101883549	NA	1	2	2	8	0	0	2	0	0	13	9	0
si:ch211-286b5.9	NA	6	44	0	26	0	4	44	1	4	43	15	4
LOC101884507	NA	7	5	3	3	1	6	5	7	8	18	20	13
LOC110439892	NA	2	2	0	0	0	1	2	2	2	0	0	2
LOC103909416	NA	0	3	1	5	2	3	3	2	7	6	3	6
LOC103909373	NA	1	1	0	5	0	0	1	0	2	2	3	1
LOC110439959	NA	0	1	0	0	0	0	1	0	1	3	0	0
LOC101884568	NA	0	2	0	2	0	0	2	0	2	1	2	3
LOC103909419	NA	5	1	0	2	1	1	1	1	1	5	3	2
LOC110439893	NA	1	0	1	0	0	0	0	0	2	2	0	0
LOC103909420	NA	1	2	0	2	0	2	2	1	2	5	5	2
LOC108186185	NA	0	1	0	1	0	0	1	0	1	2	0	1
LOC108190423	NA	0	0	0	0	0	0	0	1	1	1	1	2
si:dkey-9c18.3	NA	0	0	0	1	0	0	0	0	0	3	0	0
adgre9	NA	4	0	0	0	0	0	0	0	0	2	10	9
LOC108190435	NA	20	3	14	1	11	16	3	43	59	7	52	26
LOC103909383	NA	1	1	0	2	14	3	1	6	7	4	9	29
LOC110439891	NA	1	0	0	0	0	0	0	0	0	0	0	0
LOC110437794	NA	0	0	0	0	0	0	0	1	0	0	3	3
LOC110439894	NA	2	0	0	0	0	0	0	0	0	0	1	0
adgre15	NA	6	0	0	0	0	0	0	1	0	0	9	1
LOC101883942	NA	4	0	0	0	0	0	0	0	0	0	20	0
LOC108190441	NA	0	0	0	0	0	0	0	0	0	0	6	0
LOC103909395	NA	16	0	0	0	0	0	0	1	0	0	27	0
LOC110439895	NA	0	0	0	0	0	0	0	0	0	0	4	0
LOC103909390	NA	0	0	1	0	0	0	0	0	1	0	3	1
LOC110439896	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC100536910	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC103909389	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC103909388	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439897	NA	0	0	0	0	0	0	0	0	1	0	0	0
adgre10	NA	15	2	2	5	2	6	2	5	24	29	32	10
dnajb1b	NA	189	266	189	199	219	173	266	524	474	538	524	584
tecrb	NA	1706	896	1229	2229	837	1341	896	3213	3702	6139	4543	2144
LOC101884156	NA	1	0	0	2	0	0	0	2	0	0	1	0
ndufb7	NA	909	524	558	765	581	623	524	1510	1837	2069	2551	1661
zgc:136908	NA	19	22	0	13	1	3	22	1	4	45	61	4
samd1b	NA	78	152	20	61	30	36	152	67	90	152	163	92
prkacab	NA	576	725	190	591	265	233	725	456	636	1655	1425	622
asf1bb	NA	190	208	48	135	100	105	208	171	269	419	528	237
si:ch73-343l4.8	NA	17	1316	2	24	4	1	1316	3	8	67	47	11
LOC103909412	NA	0	6	1	6	0	1	6	0	5	0	0	1
LOC100537240	NA	1	0	0	0	0	0	0	3	2	0	1	0
LOC100537194	NA	0	4	1	5	2	1	4	0	0	5	4	3
LOC100537143	NA	1	14	1	0	0	1	14	0	2	2	2	0
si:ch73-343l4.2	NA	25	533	11	68	16	17	533	19	33	148	77	50
c3a.4	NA	1693	262	789	806	231	1292	262	1986	3578	2074	4306	616
c3a.6	NA	464	2742	4	3016	14	11	2742	14	22	7778	1292	53
LOC100331492	NA	519	259	275	586	67	588	259	683	1543	1453	1437	168
c3a.1	NA	6360	48341	54	32362	40	88	48341	115	209	84505	17088	82
crb3b	NA	86	214	22	100	16	30	214	50	69	235	229	73
si:dkey-76b14.2	NA	95	172	81	95	75	79	172	177	233	220	245	213
zgc:65894	NA	86	73	25	147	37	23	73	52	52	398	196	123
c3a.2	NA	1714	6147	8	8542	45	29	6147	41	94	22149	4479	107
c3a.3	NA	733	7165	3	3458	126	68	7165	8	155	9090	1975	374
gcgrb	NA	34	36	162	30	84	98	36	409	277	78	74	256
mir722	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439963	NA	99	19	126	0	59	370	19	363	1023	0	246	145
slc25a10	NA	855	362	540	1163	620	615	362	1416	1801	3035	2457	1521
LOC100334365	NA	0	0	0	0	0	0	0	0	0	0	1	0
LOC100334305	NA	87	44	121	86	105	96	44	306	272	247	217	233
zgc:171452	NA	2	1	0	2	1	0	1	0	0	4	9	1
LOC100334176	NA	3	2	0	0	0	2	2	6	3	0	0	2
LOC100333957	NA	681	683	234	853	378	260	683	641	711	2210	1600	912
LOC101886664	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC571092	NA	0	0	2	0	1	0	0	3	0	1	0	1
LOC100538177	NA	0	2	0	1	0	0	2	0	1	0	0	3
wu:fa03e10	NA	0	1	0	0	0	0	1	0	1	2	4	1
LOC100148249	NA	0	0	0	0	0	0	0	0	0	0	1	0
LOC101886975	NA	32	4	6	191	4	16	4	6	27	491	74	5
zmp:0000000906	NA	1	0	1	5	1	0	0	5	0	6	0	0
LOC100148752	NA	0	3	0	0	0	0	3	0	0	0	0	0
LOC100151165	NA	1	0	1	2	2	0	0	8	0	0	2	2
LOC100148237	NA	1	1	12	0	0	16	1	27	48	0	4	3
LOC103910127	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439898	NA	0	0	0	0	0	0	0	0	1	0	0	0
LOC100149931	NA	0	1	0	0	0	0	1	0	0	0	0	0
LOC100149227	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439968	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC100535040	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439970	NA	0	0	1	3	0	0	0	6	0	18	0	0
LOC110439974	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC101887163	NA	0	0	0	0	0	0	0	0	0	0	0	1
si:ch211-1f22.3	NA	2	4	1	2	1	0	4	5	1	2	6	1
LOC100151328	NA	2	1	0	11	0	9	1	3	21	15	1	2
LOC110439975	NA	0	2	0	0	0	0	2	0	0	1	1	0
LOC100149932	NA	0	0	0	0	0	0	0	1	0	2	1	0
LOC100149229	NA	0	1	0	7	0	9	1	1	13	14	1	0
LOC110439899	NA	0	0	0	2	0	0	0	0	0	2	0	1
LOC103909437	NA	0	0	0	0	0	1	0	0	0	0	0	0
LOC110439980	NA	2	6	4	3	0	1	6	18	4	8	3	0
LOC100150177	NA	5	198	6	1363	3	595	198	13	1622	3440	10	4
LOC100148735	NA	2	0	1	96	1	0	0	12	1	226	3	1
LOC108186460	NA	1	1	6	2	0	0	1	10	0	5	3	0
LOC100150424	NA	2	2	1	2	0	1	2	6	1	5	4	1
si:ch211-1f22.1	NA	6	8	14	2	8	2	8	42	4	9	46	19
si:ch211-1f22.2	NA	2	3	0	63	1	0	3	0	0	195	3	5
LOC100006104	NA	0	1	4	18	0	24	1	9	31	38	1	0
LOC100150661	NA	1	6	1	0	1	0	6	1	0	2	3	1
LOC108190564	NA	4	0	0	1	0	0	0	0	0	0	11	0
LOC110439903	NA	0	0	0	2	0	0	0	0	3	2	1	0
si:ch211-1f22.12	NA	0	1	0	2	0	1	1	3	9	8	2	3
LOC103909460	NA	0	16	2	5	0	6	16	0	9	14	3	0
LOC110439985	NA	0	6	0	11	0	7	6	0	22	27	0	0
LOC103909443	NA	0	0	0	0	0	0	0	1	0	1	0	0
LOC110439986	NA	3	16	7	14	2	5	16	14	11	20	9	14
LOC110439914	NA	0	9	6	15	3	6	9	3	31	33	3	6
LOC110439987	NA	0	2	0	0	0	0	2	1	0	2	0	3
si:ch211-1f22.16	NA	2	0	0	1	0	0	0	6	0	0	3	3
LOC103909442	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC110439988	NA	0	1	1	0	0	0	1	0	1	0	0	0
LOC108190565	NA	0	25	10	93	0	101	25	13	301	263	0	0
LOC103909440	NA	0	0	0	0	0	0	0	0	0	0	1	0
LOC110439919	NA	3	0	4	0	0	0	0	19	0	0	3	4
rac1l	NA	33	24	24	15	18	22	24	63	50	39	91	46
LOC103909439	NA	4	24	12	3	2	9	24	32	22	27	19	9
LOC101882982	NA	3	4	0	4	0	1	4	1	5	3	6	2
LOC108190563	NA	6	7	0	3	0	3	7	5	2	7	10	2
LOC108186582	NA	1	0	0	0	0	1	0	0	1	5	0	1
LOC100149247	NA	0	1	10	8	2	7	1	19	15	19	4	5
si:dkey-27j5.8	NA	3	7	1	4	8	4	7	8	10	8	12	23
LOC110439928	NA	0	0	0	0	0	0	0	0	0	0	0	0
mycbpap	NA	1	1	0	0	0	0	1	0	2	0	3	1
si:dkey-27j5.5	NA	0	1	0	0	2	0	1	0	0	1	0	0
epn3b	NA	1	3	0	3	0	1	3	0	1	15	0	1
b3gntl1	NA	39	48	38	88	15	36	48	111	95	255	104	59
si:dkey-27j5.3	NA	1	1	4	5	0	1	1	13	3	3	2	5
LOC108190693	NA	6	57	0	1	0	0	57	0	3	0	9	1
LOC100006649	NA	6	135	1	9	2	9	135	4	10	27	11	6
LOC100147925	NA	1	4	1	1	1	3	4	2	6	12	2	1
LOC103909461	NA	1	5	0	0	0	0	5	0	1	1	1	0
zmp:0000000971	NA	0	2	3	2	0	1	2	1	1	4	0	3
LOC100006752	NA	0	0	0	2	4	2	0	2	4	5	5	11
zgc:171470	NA	1	20	2	4	0	3	19	6	7	7	3	0
LOC103908692	NA	11	9	0	20	0	7	9	2	14	44	22	4
tspan34	NA	4650	695	265	9587	86	267	695	743	709	25216	12535	181
LOC101883531	NA	12	14	1	23	0	0	14	3	0	64	33	0
LOC110439716	NA	2	0	0	3	0	0	0	0	0	5	6	0
LOC110439989	NA	0	9	0	0	0	0	9	0	0	5	8	2
LOC110439930	NA	0	0	0	0	0	0	0	1	0	1	0	2
LOC100536927	NA	0	4	0	0	0	0	4	2	0	0	3	0
LOC103909463	NA	3	3	3	4	0	3	3	1	3	4	1	1
LOC100333168	NA	0	1	1	8	0	6	1	0	14	19	0	0
LOC100333244	NA	0	4	1	1	0	0	4	0	0	0	1	0
zmp:0000001289	NA	4	139	0	8	0	6	139	4	11	10	12	6
LOC101883054	NA	0	5	0	3	1	0	5	0	2	2	2	2
LOC101883960	NA	3	32	0	2	3	5	32	0	6	10	4	4
sc:d0284	NA	16	149	1	32	5	9	149	13	17	56	32	13
LOC110439990	NA	5	30	1	1	1	1	30	6	2	5	4	4
LOC101885706	NA	4	105	0	11	1	1	105	0	3	17	11	3
LOC110439991	NA	0	42	1	1	0	1	42	3	3	7	4	1
LOC101885769	NA	7	86	6	22	1	12	86	12	35	68	13	5
LOC110439933	NA	1	126	0	7	1	0	126	1	0	14	3	5
LOC110439727	NA	0	2	0	1	0	0	2	1	0	2	1	0
LOC101883506	NA	0	61	0	5	0	3	61	0	6	15	3	0
LOC101882159	NA	9	60	1	10	1	3	60	8	8	34	16	3
LOC101882213	NA	6	132	0	5	7	2	132	8	6	32	14	15
LOC110439992	NA	0	24	0	2	0	1	24	3	1	2	4	1
LOC108179133	NA	0	44	0	4	0	1	44	0	3	6	2	0
si:dkey-1c7.3	NA	0	3	0	0	0	0	3	0	1	1	0	0
LOC101882350	NA	2	1	0	0	0	0	1	0	5	3	1	7
LOC101883825	NA	0	1	0	1	1	1	1	2	3	4	3	1
LOC110439728	NA	1	0	0	1	1	3	0	2	3	0	1	1
LOC101887025	NA	3	1	2	1	1	2	1	0	6	3	6	2
LOC103909484	NA	5	0	0	3	1	1	0	1	2	3	8	4
LOC101883999	NA	28	274	5	32	13	12	274	13	25	98	75	26
LOC100537163	NA	4	13	9	8	2	6	13	18	23	35	22	14
si:ch211-114l13.10	NA	55	59	35	24	38	25	59	125	122	116	151	90
si:ch211-114l13.12	NA	18	34	12	19	12	13	34	18	37	36	26	37
si:ch211-114l13.9	NA	536	485	80	544	54	160	485	254	471	1480	1415	178
nxnl1	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:ch211-114l13.7	NA	5	23	22	19	14	18	23	42	39	65	31	62
trim35-1	NA	84	113	1	71	36	89	113	1	189	145	240	83
caspb	NA	31	31	5	30	2	3	31	7	5	118	107	10
si:ch211-114l13.4	NA	18	19	0	13	4	12	19	2	28	23	43	15
si:ch211-114l13.13	NA	14	11	10	17	42	13	11	20	32	49	21	115
si:ch211-114l13.1	NA	9	10	0	9	7	4	10	0	19	28	19	8
caspbl	NA	229	13	0	0	15	1	13	0	7	0	523	57
si:ch211-15j1.5	NA	12	4	1	2	50	5	4	2	16	6	43	110
si:ch211-15j1.4	NA	32	10	7	89	23	46	10	19	141	221	113	72
LOC103908614	NA	12	4	1	8	2	1	4	6	2	20	24	4
LOC108184853	NA	0	0	0	0	0	0	0	0	1	0	2	0
si:ch211-15j1.1	NA	10	0	1	0	0	0	0	2	2	3	19	3
si:dkey-222h21.11	NA	2	2	1	2	1	0	2	0	3	10	10	2
si:dkey-222h21.12	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-222h21.10	NA	36	33	26	56	23	24	33	58	63	166	94	43
si:dkey-222h21.9	NA	29	24	21	39	28	39	24	71	98	98	87	52
LOC108186899	NA	1	0	2	2	0	0	0	0	0	1	0	0
ggt1l2.2	NA	2	1	2	1	0	8	1	6	8	5	5	0
si:dkey-222h21.8	NA	7	8	5	17	11	12	8	14	46	57	16	25
si:dkey-222h21.7	NA	17	42	0	9	15	22	42	10	38	31	57	36
LOC110439936	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-222h21.5	NA	0	0	0	2	4	0	0	2	2	4	0	1
si:dkey-222h21.4	NA	9	2	1	6	8	3	2	4	11	16	13	16
si:dkey-222h21.3	NA	9	5	3	16	5	5	5	7	20	64	11	7
LOC110439993	NA	0	0	0	0	0	0	0	0	0	0	0	0
ggt1l2.1	NA	0	0	0	0	0	0	0	0	0	0	0	0
si:dkey-222h21.2	NA	19	14	16	28	17	16	14	45	42	83	45	28
si:dkey-222h21.1	NA	15	28	17	37	16	43	28	34	96	107	53	62
si:ch73-236c18.1	NA	1	3	0	1	0	0	3	0	0	0	1	0
LOC110439994	NA	0	0	1	0	0	0	0	1	0	0	1	0
LOC103909498	NA	0	0	4	3	0	2	0	8	6	5	5	0
si:ch73-236c18.2	NA	56	3	13	48	2	25	3	31	67	111	150	16
si:ch73-59p9.2	NA	0	0	0	1	0	0	0	0	0	1	8	0
si:ch73-236c18.3	NA	0	0	0	0	0	0	0	2	1	0	0	0
zgc:194906	NA	55	33	30	100	57	65	33	64	143	262	186	134
si:ch73-236c18.5	NA	15	12	3	17	1	10	12	11	38	43	28	4
LOC100334101	NA	21	39	14	9	17	7	39	27	27	59	63	43
si:ch73-236c18.7	NA	44	248	18	80	45	37	248	33	85	194	104	127
si:ch211-233g6.2	NA	0	24	2	0	0	0	24	2	0	6	2	0
LOC793232	NA	0	12	3	0	0	0	12	5	0	0	2	0
zgc:172091	NA	3	1	0	2	0	0	1	2	0	4	5	1
slc27a1b	NA	165	747	3	249	9	21	747	6	99	743	440	24
adgre5b.3	NA	477	351	758	680	478	552	351	2145	1621	1731	1303	1150
LOC110439689	NA	3	6	20	7	11	6	6	43	14	24	13	35
adgre5b.2	NA	32	12	61	73	62	38	12	140	116	183	74	158
LOC572225	NA	103	104	140	132	132	107	104	360	246	326	289	356
si:ch73-221f6.1	NA	21	15	74	63	91	13	15	189	68	128	58	212
zgc:174928	NA	42	45	91	62	60	32	45	176	80	165	131	193
LOC108190743	NA	27	23	35	26	22	14	23	60	55	61	86	57
zgc:174890	NA	31	27	37	17	57	13	27	95	38	45	100	109
LOC103909533	NA	27	31	47	33	47	38	31	94	88	70	111	117
LOC100536657	NA	596	2254	228	520	203	245	2254	617	657	1356	1658	525
LOC110439690	NA	0	0	0	3	0	0	0	1	0	4	1	0
LOC108190731	NA	50	51	50	74	72	51	51	173	131	157	167	181
adgrl1.1	NA	17	95	1	48	0	1	95	1	0	112	55	1
si:ch211-236p5.3	NA	858	270	165	735	183	7	270	384	17	1959	2166	493
LOC101884874	NA	0	3	0	0	0	0	3	1	0	1	0	0
LOC101884937	NA	5	7	0	3	3	2	7	3	3	8	6	2
LOC101884341	NA	2	3	4	2	1	1	3	4	1	3	4	3
LOC101884985	NA	2	5	3	8	5	3	5	8	3	9	6	11
LOC103909543	NA	26	189	11	42	24	42	189	47	117	112	82	80
LOC108190761	NA	95	98	42	143	94	57	98	140	201	402	288	258
tmed1b	NA	244	281	193	220	166	179	281	497	468	581	587	450
dnm2b	NA	653	462	634	599	645	772	462	1769	2143	1642	1591	1675
LOC566119	NA	28	3	10	0	0	1	3	23	0	0	68	0
LOC100334800	NA	100	14	36	0	1	7	14	72	26	0	223	2
zgc:171687	NA	13195	640	1991	8881	1062	2513	640	5413	6979	23169	36855	2744
zmp:0000001172	NA	79	10	4	113	85	47	10	10	140	318	201	206
LOC108179043	NA	13	0	0	24	23	10	0	2	27	73	56	35
LOC101886340	NA	6	14	13	10	18	6	14	32	18	17	16	40
LOC101886403	NA	36	40	21	35	37	13	40	45	37	69	126	82
sh2d3a	NA	76	31	186	80	211	170	31	460	497	196	179	549
eri2	NA	32	16	5	13	6	8	16	16	16	27	71	14
thumpd1	NA	117	129	104	131	133	67	129	218	176	301	328	298
LOC101882962	NA	13	5	7	7	10	7	5	20	19	22	22	20
LOC110439700	NA	3	2	0	2	1	2	2	6	4	6	12	11
LOC110439995	NA	14	12	16	8	13	9	12	39	22	32	38	35
cdc37	NA	625	596	433	515	417	440	596	1148	1209	1318	1709	1078
zgc:153247	NA	84	70	100	99	82	69	70	233	188	234	248	177
LOC101884216	NA	95	17	56	70	71	40	17	108	129	160	260	198
zgc:76872	NA	107	56	147	91	113	109	56	424	315	237	223	344
pin1	NA	436	330	392	429	269	243	330	962	722	1209	1343	723
si:zfos-2330d3.1	NA	10	46	47	116	11	86	46	94	255	316	24	20
LOC100007488	NA	105	2986	7	250	32	32	2986	29	88	572	305	87
si:zfos-2330d3.3	NA	25	87	34	14	9	22	87	43	86	24	76	12
zgc:173915	NA	302	1079	170	716	370	171	1079	436	453	1674	825	1026
mfap4	NA	144	671	66	161	82	44	671	244	154	472	489	184
wu:fj11g02	NA	25	187	181	33	6	18	187	479	49	62	62	18
LOC108179162	NA	48	7	23	17	8	24	7	25	102	71	147	19
si:zfos-2330d3.6	NA	2304	13	573	32	141	110	13	1399	376	100	6269	373
LOC555374	NA	29	6	41	49	22	42	6	67	121	112	78	53
si:zfos-2330d3.8	NA	353	163	45	283	41	476	163	117	1275	717	914	119
si:ch1073-110a20.2	NA	129	24	76	139	39	230	24	201	591	375	400	82
si:ch1073-110a20.3	NA	192	34	127	148	38	1674	34	356	5082	398	591	118
si:ch1073-110a20.1	NA	259	62	241	148	23	187	62	693	568	500	552	103
LOC108187081	NA	160	130	160	173	135	110	130	425	297	410	414	288
LOC556363	NA	560	502	441	543	383	392	502	1158	1054	1415	1518	1014
soul5l	NA	194	0	0	1	0	1	0	2	1	0	604	0
LOC103909566	NA	93	0	0	0	0	0	0	0	0	0	263	1
wu:fk65c09	NA	31	0	0	0	0	0	0	1	1	2	83	0
LOC100007608	NA	1	5	7	5	8	2	5	11	18	16	8	16
lpar2b	NA	216	171	202	517	166	201	171	528	582	1381	543	451
akap8l	NA	1212	845	730	797	786	575	845	2074	1613	2015	3406	1977
mvb12a	NA	162	258	72	128	71	79	258	233	254	372	517	201
olfm2b	NA	0	0	1	1	1	0	0	9	0	2	0	0
col5a3b	NA	0	1	0	0	0	0	1	0	0	2	1	1
rdh8b	NA	1	2	1	0	0	1	2	7	3	1	2	6
txndc11	NA	247	244	183	400	248	191	244	522	546	1083	690	593
parn	NA	438	347	329	320	236	238	347	835	650	910	1186	675
LOC108190785	NA	14	16	7	20	18	10	16	24	22	61	66	52
LOC100535454	NA	48	40	56	38	63	43	40	97	113	112	152	142
cyp3a65	NA	4659	4785	46493	10894	47271	56433	4785	127251	160093	29426	12893	123500
mslnb	NA	113	4	7	2	1	5	4	10	1	7	303	2
LOC100330916	NA	0	0	0	0	0	0	0	0	0	0	0	0
LOC103909584	NA	7	2	0	3	2	3	2	1	2	7	25	1
zgc:77358	NA	0	0	0	0	0	0	0	0	0	0	0	0
zmp:0000001082	NA	467	3019	161	372	238	297	3019	506	774	1066	1264	588
wfikkn1	NA	0	0	0	3	7	2	0	1	6	2	0	9
LOC101884641	NA	4	8	6	8	5	8	8	6	16	20	11	12
zmp:0000000625	NA	75	16	84	66	69	49	16	208	156	175	164	162
dnm3b	NA	5	5	3	7	1	3	5	8	7	11	10	11
zgc:158345	NA	37	52	26	55	22	17	52	62	42	132	125	57
LOC101884938	NA	31	42	20	44	10	12	42	44	32	115	85	58
LOC101885099	NA	6	14	4	15	6	2	14	5	9	29	24	18
zgc:153913	NA	140	487	0	390	1	0	487	1	1	930	322	2
cldn1	NA	2	3	0	9	0	0	3	0	0	19	17	0
LOC100536119	NA	150	71	57	168	109	95	71	213	278	400	413	301
LOC100331268	NA	2	0	0	0	0	1	0	1	0	2	8	2
angptl1b	NA	0	1	0	0	0	0	1	0	0	0	3	2
tada1	NA	92	77	73	84	74	93	77	168	215	230	204	173
fggy	NA	122	105	395	119	389	153	105	1115	475	334	367	1004
znfl2a	NA	24	26	4	12	5	0	26	19	1	33	61	7
igfbp1b	NA	4	94	28	100	6	1	94	85	5	283	18	14
adcy1b	NA	1	4	24	1	3	2	4	50	12	3	0	12
zgc:154086	NA	0	0	2	0	0	0	0	7	0	0	6	0
zgc:113518	NA	65	48	48	57	41	54	48	138	153	162	169	89
LOC101885894	NA	5	4	4	5	3	3	4	7	18	17	17	10
znf1014	NA	58	58	50	89	57	62	58	116	201	190	202	114
LOC100332787	NA	74	50	65	83	42	41	50	180	115	204	149	125
LOC101886047	NA	38	21	48	29	35	28	21	120	77	84	70	76
zgc:113293	NA	0	0	0	1	0	0	0	0	1	0	0	0
dhx30	NA	43	92	60	64	75	54	92	161	172	159	148	177
LOC570723	NA	34	35	28	37	20	12	35	75	52	78	72	53
LOC101886255	NA	10	8	12	2	1	37	8	41	105	2	33	8
phlpp1	NA	384	346	449	543	414	427	346	1122	1056	1392	915	993
si:ch73-40a17.3	NA	116	135	5677	112	3947	3741	135	15540	10734	298	293	10509
si:ch73-40a17.4	NA	6	5	11	6	11	6	5	24	17	16	11	30
