isoform	gene	length
transcript:AT1G61240.5	AT1G61240	1722
transcript:AT1G61240.6	AT1G61240	2009
transcript:AT1G61240.2	AT1G61240	1788
transcript:AT1G61240.1	AT1G61240	1896
transcript:AT1G61240.7	AT1G61240	1791
transcript:AT1G61240.8	AT1G61240	1302
transcript:AT1G61250.1	AT1G61250	1403
transcript:AT1G61250.2	AT1G61250	1312
transcript:AT1G61255.1	AT1G61255	692
transcript:AT1G61260.1	AT1G61260	1678
transcript:AT1G61270.1	AT1G61270	1592
transcript:ENSRNA049493324-T1	ENSRNA049493324	165
transcript:AT1G61275.1	AT1G61275	175
transcript:AT1G61280.2	AT1G61280	977
transcript:AT1G61280.1	AT1G61280	698
transcript:AT1G61290.1	AT1G61290	994
transcript:AT1G61290.2	AT1G61290	1264
transcript:AT1G08367.1	AT1G08367	175
transcript:AT1G61300.2	AT1G61300	2616
transcript:AT1G61300.1	AT1G61300	2923
transcript:AT1G08377.1	AT1G08377	217
transcript:AT1G61310.1	AT1G61310	3376
transcript:AT1G61320.1	AT1G61320	1515
transcript:AT1G08383.1	AT1G08383	223
transcript:AT1G61330.1	AT1G61330	1344
transcript:AT1G61340.1	AT1G61340	980
transcript:AT1G61340.2	AT1G61340	944
transcript:AT1G61350.1	AT1G61350	2328
transcript:AT1G61360.1	AT1G61360	2782
transcript:AT1G61360.3	AT1G61360	3174
transcript:AT1G61360.4	AT1G61360	3147
transcript:AT1G61360.2	AT1G61360	2825
transcript:AT1G61370.2	AT1G61370	2787
transcript:AT1G61370.1	AT1G61370	3079
transcript:AT1G61380.1	AT1G61380	2892
transcript:AT1G61380.2	AT1G61380	3007
transcript:AT1G61390.2	AT1G61390	2962
transcript:AT1G61390.1	AT1G61390	2727
transcript:AT1G61400.1	AT1G61400	3271
transcript:AT1G61400.2	AT1G61400	2511
transcript:AT1G61410.1	AT1G61410	1001
transcript:AT1G61415.1	AT1G61415	1051
transcript:AT1G61415.2	AT1G61415	1000
transcript:AT1G61420.1	AT1G61420	3205
transcript:AT1G61420.4	AT1G61420	2590
transcript:AT1G61420.5	AT1G61420	2380
transcript:AT1G61420.2	AT1G61420	3008
transcript:AT1G61420.3	AT1G61420	2734
transcript:AT1G08387.1	AT1G08387	1587
transcript:AT1G61430.2	AT1G61430	3360
transcript:AT1G61430.3	AT1G61430	3137
transcript:AT1G61430.4	AT1G61430	3040
transcript:AT1G61430.1	AT1G61430	3058
transcript:AT1G61430.5	AT1G61430	3147
transcript:AT1G61430.6	AT1G61430	3453
transcript:AT1G61430.7	AT1G61430	3400
transcript:AT1G61430.8	AT1G61430	3375
transcript:AT1G61430.9	AT1G61430	3286
transcript:AT1G61430.10	AT1G61430	3055
transcript:AT1G61430.11	AT1G61430	2841
transcript:AT1G61430.12	AT1G61430	2763
transcript:AT1G61430.13	AT1G61430	2751
transcript:AT1G61440.2	AT1G61440	3368
transcript:AT1G61440.1	AT1G61440	2486
transcript:AT1G61440.3	AT1G61440	2498
transcript:AT1G61450.1	AT1G61450	881
transcript:AT1G61460.1	AT1G61460	2250
transcript:AT1G61470.1	AT1G61470	1211
transcript:AT1G61475.1	AT1G61475	639
transcript:AT1G61480.1	AT1G61480	2816
transcript:AT1G61490.1	AT1G61490	2675
transcript:AT1G61490.2	AT1G61490	2921
transcript:AT1G61490.3	AT1G61490	2753
transcript:AT1G61490.4	AT1G61490	3659
transcript:AT1G61490.5	AT1G61490	3585
transcript:AT1G61490.6	AT1G61490	3581
transcript:AT1G61490.7	AT1G61490	2337
transcript:AT1G61500.2	AT1G61500	3002
transcript:AT1G61500.3	AT1G61500	2642
transcript:AT1G61500.1	AT1G61500	3333
transcript:AT1G61520.3	AT1G61520	973
transcript:AT1G61520.1	AT1G61520	1344
transcript:AT1G61520.2	AT1G61520	1311
transcript:AT1G61540.1	AT1G61540	1209
transcript:AT1G61550.1	AT1G61550	2985
transcript:AT1G61560.1	AT1G61560	2416
transcript:AT1G61560.5	AT1G61560	2749
transcript:AT1G61560.6	AT1G61560	2663
transcript:AT1G61560.7	AT1G61560	2656
transcript:AT1G61560.8	AT1G61560	2509
transcript:AT1G61560.9	AT1G61560	2474
transcript:AT1G61560.10	AT1G61560	2406
transcript:AT1G61560.2	AT1G61560	2038
transcript:AT1G61560.3	AT1G61560	2036
transcript:AT1G61560.4	AT1G61560	2201
transcript:AT1G61562.1	AT1G61562	558
transcript:AT1G61563.1	AT1G61563	528
transcript:AT1G61565.1	AT1G61565	331
transcript:AT1G61566.1	AT1G61566	551
transcript:AT1G61570.1	AT1G61570	761
transcript:AT1G61575.1	AT1G61575	583
transcript:AT1G61575.2	AT1G61575	485
transcript:AT1G61580.1	AT1G61580	1486
transcript:AT1G61590.1	AT1G61590	1766
transcript:AT1G08393.1	AT1G08393	306
transcript:AT1G61600.1	AT1G61600	1416
transcript:AT1G61610.1	AT1G61610	2991
transcript:AT1G61610.2	AT1G61610	3088
transcript:AT1G61620.1	AT1G61620	1345
transcript:AT1G08397.1	AT1G08397	203
transcript:AT1G08403.1	AT1G08403	242
transcript:AT1G08413.1	AT1G08413	241
transcript:AT1G08417.1	AT1G08417	301
transcript:AT1G61630.1	AT1G61630	1290
transcript:AT1G61640.2	AT1G61640	2386
transcript:AT1G61640.3	AT1G61640	2517
transcript:AT1G61640.1	AT1G61640	2344
transcript:AT1G61660.1	AT1G61660	1774
transcript:AT1G61660.5	AT1G61660	2173
transcript:AT1G61660.6	AT1G61660	2143
transcript:AT1G61660.7	AT1G61660	2059
transcript:AT1G61660.2	AT1G61660	1689
transcript:AT1G61660.3	AT1G61660	1578
transcript:AT1G61660.4	AT1G61660	1521
transcript:AT1G61667.2	AT1G61667	1057
transcript:AT1G61667.1	AT1G61667	760
transcript:AT1G61670.1	AT1G61670	1985
transcript:AT1G61670.2	AT1G61670	1693
transcript:AT1G08427.1	AT1G08427	195
transcript:AT1G61680.2	AT1G61680	1862
transcript:AT1G61680.1	AT1G61680	1710
transcript:AT1G61688.1	AT1G61688	414
transcript:AT1G61690.1	AT1G61690	4074
transcript:AT1G61700.1	AT1G61700	577
transcript:AT1G61710.1	AT1G61710	1209
transcript:AT1G61720.1	AT1G61720	1429
transcript:AT1G61730.1	AT1G61730	1545
transcript:at1g61732	AT1G61732	118
transcript:ENSRNA049757730-T1	ENSRNA049757730	118
transcript:AT1G61740.1	AT1G61740	2103
transcript:AT1G61750.1	AT1G61750	1245
transcript:AT1G61760.1	AT1G61760	1088
transcript:AT1G61770.1	AT1G61770	1319
transcript:AT1G61780.1	AT1G61780	692
transcript:AT1G61790.1	AT1G61790	1942
transcript:AT1G61790.2	AT1G61790	1234
transcript:AT1G61795.1	AT1G61795	956
transcript:AT1G61800.2	AT1G61800	1724
transcript:AT1G61800.1	AT1G61800	1723
transcript:AT1G61810.2	AT1G61810	2012
transcript:AT1G61810.1	AT1G61810	1826
transcript:AT1G61810.3	AT1G61810	1696
transcript:AT1G61810.4	AT1G61810	1814
transcript:AT1G61810.5	AT1G61810	1523
transcript:AT1G08433.1	AT1G08433	252
transcript:AT1G08437.1	AT1G08437	271
transcript:AT1G61820.1	AT1G61820	2116
transcript:AT1G61820.3	AT1G61820	1685
transcript:AT1G61840.1	AT1G61840	2743
transcript:AT1G61850.1	AT1G61850	4912
transcript:AT1G61850.2	AT1G61850	4669
transcript:AT1G61860.1	AT1G61860	1873
transcript:AT1G61870.1	AT1G61870	1716
transcript:AT1G61880.1	AT1G61880	72
transcript:ENSRNA049492588-T1	ENSRNA049492588	72
transcript:AT1G08443.1	AT1G08443	226
transcript:AT1G61890.1	AT1G61890	2115
transcript:AT1G61890.2	AT1G61890	2265
transcript:AT1G61890.3	AT1G61890	2219
transcript:AT1G61900.1	AT1G61900	2037
transcript:AT1G61900.3	AT1G61900	1913
transcript:AT1G61900.2	AT1G61900	1919
transcript:AT1G61910.1	AT1G61910	80
transcript:ENSRNA049492561-T1	ENSRNA049492561	80
transcript:AT1G61920.1	AT1G61920	586
transcript:AT1G61930.1	AT1G61930	964
transcript:AT1G61940.2	AT1G61940	798
transcript:AT1G61940.1	AT1G61940	885
transcript:AT1G61950.1	AT1G61950	1861
transcript:AT1G61960.1	AT1G61960	1811
transcript:AT1G61970.1	AT1G61970	2985
transcript:AT1G61970.2	AT1G61970	2880
transcript:AT1G61970.3	AT1G61970	2780
transcript:AT1G61970.4	AT1G61970	2764
transcript:AT1G61970.5	AT1G61970	2467
transcript:AT1G61970.6	AT1G61970	3075
transcript:AT1G61970.7	AT1G61970	2746
transcript:AT1G61980.1	AT1G61980	2426
transcript:AT1G61980.2	AT1G61980	1812
transcript:AT1G61980.3	AT1G61980	1671
transcript:AT1G61990.1	AT1G61990	1964
transcript:AT1G61990.2	AT1G61990	1875
transcript:AT1G62000.1	AT1G62000	788
transcript:AT1G08447.1	AT1G08447	667
transcript:AT1G62010.1	AT1G62010	1665
transcript:AT1G08453.1	AT1G08453	237
transcript:AT1G62020.1	AT1G62020	4145
transcript:AT1G62030.1	AT1G62030	2587
transcript:at1g62035	AT1G62035	116
transcript:ENSRNA049757732-T1	ENSRNA049757732	116
transcript:AT1G62040.1	AT1G62040	887
transcript:AT1G62040.2	AT1G62040	1145
transcript:AT1G62045.1	AT1G62045	631
transcript:AT1G62050.1	AT1G62050	2299
transcript:AT1G62060.1	AT1G62060	732
transcript:AT1G62070.1	AT1G62070	696
transcript:AT1G62080.1	AT1G62080	708
transcript:AT1G08457.1	AT1G08457	436
transcript:AT1G08463.1	AT1G08463	230
transcript:AT1G62085.1	AT1G62085	2324
transcript:AT1G62085.2	AT1G62085	2022
transcript:AT1G08473.1	AT1G08473	327
transcript:AT1G62110.1	AT1G62110	2009
transcript:AT1G62120.1	AT1G62120	1965
transcript:AT1G62130.2	AT1G62130	3424
transcript:AT1G62130.1	AT1G62130	3235
transcript:AT1G62150.1	AT1G62150	1942
transcript:AT1G62160.1	AT1G62160	663
transcript:AT1G62170.2	AT1G62170	1728
transcript:AT1G62170.1	AT1G62170	1302
transcript:AT1G62180.1	AT1G62180	2049
transcript:AT1G62180.2	AT1G62180	1538
transcript:AT1G08477.1	AT1G08477	782
transcript:AT1G62190.1	AT1G62190	1191
transcript:AT1G62200.2	AT1G62200	3098
transcript:AT1G62200.3	AT1G62200	2150
transcript:AT1G62200.1	AT1G62200	1909
transcript:AT1G62210.1	AT1G62210	860
transcript:AT1G62220.1	AT1G62220	649
transcript:AT1G08483.1	AT1G08483	327
transcript:AT1G62225.1	AT1G62225	792
transcript:AT1G62250.1	AT1G62250	2192
transcript:AT1G62250.3	AT1G62250	1475
transcript:AT1G62250.2	AT1G62250	1268
transcript:AT1G62240.1	AT1G62240	928
transcript:AT1G62260.1	AT1G62260	2075
transcript:AT1G62262.1	AT1G62262	1523
transcript:AT1G08487.1	AT1G08487	210
transcript:AT1G62270.1	AT1G62270	1152
transcript:AT1G08493.1	AT1G08493	199
transcript:AT1G62280.1	AT1G62280	1493
transcript:AT1G62290.2	AT1G62290	1861
transcript:AT1G62290.5	AT1G62290	1897
transcript:AT1G62290.6	AT1G62290	1894
transcript:AT1G62290.1	AT1G62290	1825
transcript:AT1G62290.3	AT1G62290	2017
transcript:AT1G62290.4	AT1G62290	1932
transcript:AT1G62300.1	AT1G62300	2319
transcript:AT1G08497.1	AT1G08497	258
transcript:AT1G62305.3	AT1G62305	1723
transcript:AT1G62305.1	AT1G62305	1738
transcript:AT1G62305.2	AT1G62305	1428
transcript:AT1G08503.1	AT1G08503	296
transcript:AT1G08507.1	AT1G08507	536
transcript:AT1G62310.1	AT1G62310	5501
transcript:AT1G08513.1	AT1G08513	615
transcript:AT1G62320.2	AT1G62320	3134
transcript:AT1G62320.3	AT1G62320	3067
transcript:AT1G62320.4	AT1G62320	2403
transcript:AT1G62320.5	AT1G62320	2337
transcript:AT1G62320.1	AT1G62320	2664
transcript:AT1G62330.1	AT1G62330	2440
transcript:AT1G62333.1	AT1G62333	560
transcript:AT1G62340.1	AT1G62340	2636
transcript:AT1G62350.2	AT1G62350	858
transcript:AT1G62350.1	AT1G62350	786
transcript:AT1G62350.3	AT1G62350	536
transcript:at1g62355	AT1G62355	123
transcript:ENSRNA049757734-T1	ENSRNA049757734	123
transcript:AT1G62360.1	AT1G62360	1704
transcript:AT1G08517.1	AT1G08517	308
transcript:AT1G62370.1	AT1G62370	1324
transcript:AT1G08523.1	AT1G08523	406
transcript:AT1G62380.1	AT1G62380	1452
transcript:AT1G62390.1	AT1G62390	2849
transcript:AT1G62400.1	AT1G62400	1874
transcript:AT1G62410.1	AT1G62410	672
transcript:AT1G62421.1	AT1G62421	406
transcript:AT1G62422.1	AT1G62422	1217
transcript:AT1G62420.1	AT1G62420	1164
transcript:AT1G62430.1	AT1G62430	1950
transcript:AT1G62440.1	AT1G62440	2361
transcript:AT1G62450.1	AT1G62450	1318
transcript:AT1G62480.1	AT1G62480	818
transcript:AT1G62490.1	AT1G62490	1538
transcript:AT1G62500.1	AT1G62500	1580
transcript:AT1G62510.1	AT1G62510	889
transcript:AT1G62515.1	AT1G62515	456
transcript:AT1G62520.1	AT1G62520	1147
transcript:AT1G62530.2	AT1G62530	1291
transcript:AT1G62530.1	AT1G62530	1065
transcript:AT1G62540.2	AT1G62540	1975
transcript:AT1G62540.1	AT1G62540	1900
transcript:AT1G62540.3	AT1G62540	1730
transcript:AT1G62560.1	AT1G62560	1897
transcript:AT1G62560.2	AT1G62560	2284
transcript:AT1G62570.1	AT1G62570	2218
transcript:AT1G62580.1	AT1G62580	1541
transcript:AT1G62580.3	AT1G62580	1071
transcript:AT1G62580.2	AT1G62580	1395
transcript:AT1G08533.1	AT1G08533	295
transcript:AT1G62590.1	AT1G62590	2212
transcript:AT1G62590.2	AT1G62590	1955
transcript:AT1G08537.1	AT1G08537	327
transcript:AT1G08543.1	AT1G08543	670
transcript:AT1G62600.1	AT1G62600	1548
transcript:AT1G62600.2	AT1G62600	1253
transcript:AT1G62610.1	AT1G62610	1439
transcript:AT1G62610.2	AT1G62610	1436
transcript:AT1G62610.3	AT1G62610	1427
transcript:AT1G62610.4	AT1G62610	1601
transcript:AT1G08547.1	AT1G08547	196
transcript:AT1G62620.1	AT1G62620	1674
transcript:AT1G62620.2	AT1G62620	1572
transcript:AT1G62630.1	AT1G62630	3465
transcript:AT1G62640.2	AT1G62640	1826
transcript:AT1G62640.1	AT1G62640	1937
transcript:AT1G62660.1	AT1G62660	2577
transcript:AT1G62660.2	AT1G62660	2913
transcript:AT1G62660.3	AT1G62660	3256
transcript:AT1G62660.4	AT1G62660	1891
transcript:AT1G62670.1	AT1G62670	2417
transcript:AT1G62670.2	AT1G62670	1893
transcript:AT1G62680.1	AT1G62680	2448
transcript:AT1G62680.2	AT1G62680	2700
transcript:AT1G62690.1	AT1G62690	668
transcript:AT1G62690.2	AT1G62690	680
transcript:AT1G62700.1	AT1G62700	1926
transcript:AT1G62700.2	AT1G62700	1269
transcript:AT1G08553.1	AT1G08553	332
transcript:AT1G62710.1	AT1G62710	1783
transcript:AT1G62720.1	AT1G62720	1619
transcript:AT1G08557.1	AT1G08557	295
transcript:AT1G62730.1	AT1G62730	1333
transcript:AT1G62730.2	AT1G62730	1028
transcript:AT1G62740.1	AT1G62740	1983
transcript:AT1G62750.1	AT1G62750	2666
transcript:AT1G62760.1	AT1G62760	1273
transcript:AT1G62770.1	AT1G62770	978
transcript:AT1G62780.1	AT1G62780	1047
transcript:AT1G62790.1	AT1G62790	944
transcript:AT1G62790.2	AT1G62790	760
transcript:AT1G08563.1	AT1G08563	237
transcript:AT1G62800.1	AT1G62800	1490
transcript:AT1G62800.2	AT1G62800	1579
transcript:AT1G62800.3	AT1G62800	1479
transcript:AT1G08567.1	AT1G08567	351
transcript:AT1G62810.1	AT1G62810	3012
transcript:AT1G08573.1	AT1G08573	509
transcript:AT1G62820.1	AT1G62820	1186
transcript:AT1G62830.1	AT1G62830	2736
transcript:AT1G62840.1	AT1G62840	911
transcript:AT1G08577.1	AT1G08577	246
transcript:AT1G62850.2	AT1G62850	1745
transcript:AT1G62850.3	AT1G62850	1397
transcript:AT1G62850.4	AT1G62850	734
transcript:AT1G62870.1	AT1G62870	2886
transcript:AT1G62880.1	AT1G62880	958
transcript:AT1G62880.2	AT1G62880	1116
transcript:AT1G62886.1	AT1G62886	219
transcript:AT1G62895.1	AT1G62895	261
transcript:AT1G62900.1	AT1G62900	836
transcript:AT1G62910.1	AT1G62910	2194
transcript:AT1G62914.1	AT1G62914	1848
transcript:AT1G62915.1	AT1G62915	693
transcript:AT1G62920.1	AT1G62920	783
transcript:AT1G62930.1	AT1G62930	2153
transcript:AT1G62935.1	AT1G62935	651
transcript:AT1G62940.1	AT1G62940	1699
transcript:AT1G08583.1	AT1G08583	279
transcript:AT1G62950.1	AT1G62950	3269
transcript:AT1G62960.1	AT1G62960	1956
transcript:AT1G62970.2	AT1G62970	2763
transcript:AT1G62970.1	AT1G62970	2917
transcript:AT1G62975.2	AT1G62975	1550
transcript:AT1G62975.1	AT1G62975	1244
transcript:AT1G62978.1	AT1G62978	147
transcript:AT1G62980.1	AT1G62980	1251
transcript:AT1G62981.1	AT1G62981	1364
transcript:AT1G62981.2	AT1G62981	1383
transcript:AT1G62981.3	AT1G62981	856
transcript:AT1G62990.1	AT1G62990	1521
transcript:AT1G63000.1	AT1G63000	1466
transcript:at1g63005	AT1G63005	135
transcript:ENSRNA049757737-T1	ENSRNA049757737	135
transcript:AT1G63010.5	AT1G63010	2934
transcript:AT1G63010.4	AT1G63010	2897
transcript:AT1G63010.1	AT1G63010	2669
transcript:AT1G63010.2	AT1G63010	2793
transcript:AT1G63010.6	AT1G63010	2812
transcript:AT1G63010.7	AT1G63010	2731
transcript:AT1G63010.3	AT1G63010	2799
transcript:AT1G63020.5	AT1G63020	4202
transcript:AT1G63020.2	AT1G63020	5115
transcript:AT1G63020.4	AT1G63020	4915
transcript:AT1G63020.3	AT1G63020	5263
transcript:AT1G63020.1	AT1G63020	5018
transcript:AT1G08587.1	AT1G08587	206
transcript:AT1G63030.2	AT1G63030	976
transcript:AT1G63030.1	AT1G63030	829
transcript:AT1G63050.1	AT1G63050	1759
transcript:AT1G63055.1	AT1G63055	628
transcript:AT1G63057.2	AT1G63057	425
transcript:AT1G63057.1	AT1G63057	611
transcript:AT1G63060.1	AT1G63060	803
transcript:AT1G63070.1	AT1G63070	1773
transcript:AT1G63080.1	AT1G63080	2175
transcript:AT1G63080.2	AT1G63080	3112
transcript:AT1G63080.3	AT1G63080	3193
transcript:AT1G63090.1	AT1G63090	1449
transcript:AT1G63100.1	AT1G63100	2990
transcript:AT1G63100.2	AT1G63100	3065
transcript:AT1G63105.1	AT1G63105	397
transcript:AT1G63110.1	AT1G63110	1954
transcript:AT1G63110.2	AT1G63110	1790
transcript:AT1G63110.3	AT1G63110	1843
transcript:AT1G63120.1	AT1G63120	1618
transcript:AT1G63130.1	AT1G63130	2638
transcript:AT1G63130.2	AT1G63130	2511
transcript:at1g08597	AT1G08597	448
transcript:ENSRNA049757739-T1	ENSRNA049757739	448
transcript:AT1G08603.1	AT1G08603	210
transcript:AT1G63140.4	AT1G63140	1349
transcript:AT1G63140.1	AT1G63140	1434
transcript:AT1G63140.3	AT1G63140	1519
transcript:AT1G63140.2	AT1G63140	1296
transcript:AT1G63150.1	AT1G63150	2286
transcript:AT1G63150.2	AT1G63150	2270
transcript:AT1G63160.1	AT1G63160	1379
transcript:AT1G63170.1	AT1G63170	1703
transcript:AT1G63180.1	AT1G63180	1478
transcript:AT1G63180.2	AT1G63180	1194
transcript:AT1G63190.1	AT1G63190	902
transcript:AT1G63200.1	AT1G63200	761
transcript:AT1G63205.1	AT1G63205	570
transcript:AT1G63206.2	AT1G63206	868
transcript:AT1G63206.1	AT1G63206	833
transcript:AT1G63210.1	AT1G63210	3594
transcript:AT1G63220.1	AT1G63220	935
transcript:AT1G63220.2	AT1G63220	708
transcript:AT1G63230.1	AT1G63230	1727
transcript:AT1G63240.1	AT1G63240	2502
transcript:AT1G63245.1	AT1G63245	687
transcript:AT1G63250.1	AT1G63250	2715
transcript:AT1G63260.4	AT1G63260	1651
transcript:AT1G63260.1	AT1G63260	1575
transcript:AT1G63260.2	AT1G63260	1367
transcript:AT1G63260.3	AT1G63260	1443
transcript:AT1G63260.5	AT1G63260	1648
transcript:AT1G63260.6	AT1G63260	1443
transcript:AT1G63270.1	AT1G63270	1320
transcript:AT1G63280.1	AT1G63280	363
transcript:AT1G63290.1	AT1G63290	1267
transcript:AT1G63295.1	AT1G63295	731
transcript:AT1G63295.2	AT1G63295	748
transcript:AT1G63300.1	AT1G63300	3529
transcript:AT1G63310.1	AT1G63310	848
transcript:AT1G63320.1	AT1G63320	618
transcript:AT1G63330.1	AT1G63330	1715
transcript:AT1G63330.3	AT1G63330	1926
transcript:AT1G63330.2	AT1G63330	1934
transcript:AT1G63340.1	AT1G63340	1275
transcript:AT1G63350.2	AT1G63350	3123
transcript:AT1G63350.3	AT1G63350	3120
transcript:AT1G63350.1	AT1G63350	2988
transcript:AT1G63350.4	AT1G63350	2913
transcript:AT1G08607.1	AT1G08607	603
transcript:AT1G63360.1	AT1G63360	3838
transcript:AT1G63360.2	AT1G63360	2976
transcript:AT1G63370.1	AT1G63370	1443
transcript:AT1G63370.2	AT1G63370	1253
transcript:AT1G63380.3	AT1G63380	940
transcript:AT1G63380.2	AT1G63380	1132
transcript:AT1G63380.4	AT1G63380	1026
transcript:AT1G63380.1	AT1G63380	849
transcript:AT1G63390.1	AT1G63390	507
transcript:AT1G63400.1	AT1G63400	2307
transcript:AT1G63410.2	AT1G63410	648
transcript:AT1G63410.1	AT1G63410	925
transcript:AT1G63410.3	AT1G63410	1018
transcript:AT1G08613.1	AT1G08613	296
transcript:AT1G63420.1	AT1G63420	2098
transcript:AT1G63420.2	AT1G63420	2281
transcript:AT1G63430.1	AT1G63430	2761
transcript:AT1G63430.3	AT1G63430	2551
transcript:AT1G63430.2	AT1G63430	2847
transcript:AT1G63440.1	AT1G63440	3190
transcript:AT1G63450.1	AT1G63450	3330
transcript:AT1G63460.1	AT1G63460	817
transcript:AT1G63470.1	AT1G63470	1881
transcript:AT1G63480.6	AT1G63480	1637
transcript:AT1G63480.7	AT1G63480	1580
transcript:AT1G63480.4	AT1G63480	1765
transcript:AT1G63480.5	AT1G63480	1665
transcript:AT1G63480.3	AT1G63480	1770
transcript:AT1G63480.1	AT1G63480	1949
transcript:AT1G63480.2	AT1G63480	1849
transcript:AT1G63490.2	AT1G63490	4907
transcript:AT1G63490.3	AT1G63490	5041
transcript:AT1G63490.1	AT1G63490	4068
transcript:AT1G63490.4	AT1G63490	4788
transcript:AT1G63500.1	AT1G63500	2594
transcript:AT1G63510.1	AT1G63510	72
transcript:AT1G63520.1	AT1G63520	2088
transcript:AT1G63522.1	AT1G63522	369
transcript:AT1G63530.3	AT1G63530	2077
transcript:AT1G63530.4	AT1G63530	1844
transcript:AT1G63530.1	AT1G63530	1956
transcript:AT1G63530.2	AT1G63530	2189
transcript:AT1G63535.1	AT1G63535	183
transcript:AT1G63540.1	AT1G63540	1997
transcript:AT1G63550.1	AT1G63550	1440
transcript:AT1G63570.2	AT1G63570	1128
transcript:AT1G63570.1	AT1G63570	1072
transcript:AT1G63570.3	AT1G63570	928
transcript:AT1G63580.1	AT1G63580	1058
transcript:AT1G63590.1	AT1G63590	807
transcript:AT1G63600.1	AT1G63600	1213
transcript:AT1G63610.1	AT1G63610	1687
transcript:AT1G63610.2	AT1G63610	1533
transcript:AT1G63610.3	AT1G63610	1448
transcript:AT1G63615.1	AT1G63615	742
transcript:AT1G63630.2	AT1G63630	1135
transcript:AT1G63630.1	AT1G63630	1206
transcript:AT1G63640.1	AT1G63640	3884
transcript:AT1G63640.3	AT1G63640	3854
transcript:AT1G63640.4	AT1G63640	3707
transcript:AT1G63640.2	AT1G63640	3585
transcript:AT1G63640.5	AT1G63640	3656
transcript:AT1G63650.3	AT1G63650	2464
transcript:AT1G63650.1	AT1G63650	2551
transcript:AT1G63650.2	AT1G63650	2037
transcript:AT1G63660.1	AT1G63660	2136
transcript:AT1G63660.2	AT1G63660	1983
transcript:AT1G63670.3	AT1G63670	2709
transcript:AT1G63670.1	AT1G63670	2398
transcript:AT1G63670.4	AT1G63670	2544
transcript:AT1G63670.2	AT1G63670	2612
transcript:AT1G63670.5	AT1G63670	1858
transcript:AT1G63680.1	AT1G63680	2963
transcript:AT1G63680.2	AT1G63680	2986
transcript:AT1G63680.3	AT1G63680	2684
transcript:AT1G63690.1	AT1G63690	2415
transcript:AT1G63690.2	AT1G63690	2049
transcript:AT1G63700.1	AT1G63700	3764
transcript:AT1G63700.2	AT1G63700	3275
transcript:AT1G63710.1	AT1G63710	1896
transcript:AT1G63720.1	AT1G63720	1683
transcript:AT1G08623.1	AT1G08623	270
transcript:AT1G08627.1	AT1G08627	231
transcript:AT1G63730.1	AT1G63730	2901
transcript:AT1G63740.2	AT1G63740	3780
transcript:AT1G63740.1	AT1G63740	3555
transcript:AT1G63750.3	AT1G63750	3616
transcript:AT1G63750.2	AT1G63750	3927
transcript:AT1G63750.1	AT1G63750	4378
transcript:AT1G63770.1	AT1G63770	3229
transcript:AT1G63770.2	AT1G63770	3331
transcript:AT1G63770.3	AT1G63770	3503
transcript:AT1G63770.4	AT1G63770	3235
transcript:AT1G63770.5	AT1G63770	3163
transcript:AT1G63770.6	AT1G63770	3021
transcript:AT1G63770.7	AT1G63770	2929
transcript:AT1G08633.1	AT1G08633	590
transcript:AT1G63780.1	AT1G63780	1229
transcript:AT1G63790.1	AT1G63790	72
transcript:ENSRNA049492587-T1	ENSRNA049492587	72
transcript:AT1G63800.1	AT1G63800	976
transcript:AT1G63800.2	AT1G63800	1098
transcript:AT1G63810.1	AT1G63810	3572
transcript:AT1G63810.2	AT1G63810	3801
transcript:AT1G63820.1	AT1G63820	1456
transcript:AT1G63830.3	AT1G63830	1182
transcript:AT1G63830.4	AT1G63830	1375
transcript:AT1G63830.1	AT1G63830	1158
transcript:AT1G63830.2	AT1G63830	1083
transcript:AT1G63830.5	AT1G63830	903
transcript:AT1G63840.1	AT1G63840	1205
transcript:AT1G08637.1	AT1G08637	316
transcript:AT1G63850.1	AT1G63850	2211
transcript:AT1G63855.3	AT1G63855	792
transcript:AT1G63855.1	AT1G63855	945
transcript:AT1G63855.4	AT1G63855	850
transcript:AT1G63855.5	AT1G63855	996
transcript:AT1G63855.6	AT1G63855	936
transcript:AT1G63855.2	AT1G63855	832
transcript:AT1G08643.1	AT1G08643	127
transcript:ENSRNA049493319-T1	ENSRNA049493319	102
transcript:AT1G63860.3	AT1G63860	3673
transcript:AT1G63860.4	AT1G63860	3749
transcript:AT1G63860.1	AT1G63860	3451
transcript:AT1G63860.5	AT1G63860	3722
transcript:AT1G63860.6	AT1G63860	3429
transcript:AT1G63860.2	AT1G63860	3287
transcript:AT1G63870.1	AT1G63870	3139
transcript:AT1G63880.2	AT1G63880	3326
transcript:AT1G63880.1	AT1G63880	3500
transcript:AT1G63900.2	AT1G63900	1767
transcript:AT1G63900.1	AT1G63900	1685
transcript:AT1G63910.1	AT1G63910	1447
transcript:AT1G63930.1	AT1G63930	1610
transcript:AT1G63940.2	AT1G63940	2142
transcript:AT1G63940.1	AT1G63940	2169
transcript:AT1G63940.3	AT1G63940	2006
transcript:AT1G63940.4	AT1G63940	1907
transcript:AT1G63950.2	AT1G63950	576
transcript:AT1G63950.1	AT1G63950	370
transcript:AT1G63960.2	AT1G63960	622
transcript:AT1G63960.1	AT1G63960	306
transcript:AT1G63970.1	AT1G63970	994
transcript:AT1G63970.2	AT1G63970	522
transcript:AT1G63980.1	AT1G63980	1577
transcript:AT1G63980.2	AT1G63980	1502
